Td,CP298,S298
40,24.91956777,79.92737651
40.1,24.91945554,79.89083648
40.2,24.91934303,79.8541968
40.3,24.91923024,79.81745986
40.4,24.91911717,79.78062801
40.5,24.91900383,79.74370354
40.6,24.9188902,79.70668871
40.7,24.91877629,79.66958576
40.8,24.91866211,79.63239687
40.9,24.91854764,79.59512418
41,24.9184329,79.55776981
41.1,24.91831788,79.52033583
41.2,24.91820257,79.48282429
41.3,24.91808699,79.44523719
41.4,24.91797113,79.4075765
41.5,24.91785499,79.36984417
41.6,24.91773857,79.33204209
41.7,24.91762187,79.29417213
41.8,24.91750489,79.25623615
41.9,24.91738763,79.21823595
42,24.91727009,79.18017331
42.1,24.91715227,79.14204997
42.2,24.91703418,79.10386766
42.3,24.9169158,79.06562807
42.4,24.91679714,79.02733286
42.5,24.91667821,78.98898366
42.6,24.91655899,78.95058208
42.7,24.9164395,78.9121297
42.8,24.91631973,78.87362807
42.9,24.91619967,78.83507872
43,24.91607934,78.79648315
43.1,24.91595873,78.75784283
43.2,24.91583784,78.71915922
43.3,24.91571667,78.68043374
43.4,24.91559522,78.64166779
43.5,24.91547349,78.60286275
43.6,24.91535148,78.56401998
43.7,24.9152292,78.52514082
43.8,24.91510663,78.48622656
43.9,24.91498378,78.44727851
44,24.91486066,78.40829792
44.1,24.91473725,78.36928605
44.2,24.91461357,78.33024412
44.3,24.91448961,78.29117333
44.4,24.91436537,78.25207487
44.5,24.91424084,78.2129499
44.6,24.91411604,78.17379957
44.7,24.91399096,78.13462501
44.8,24.9138656,78.09542732
44.9,24.91373997,78.05620759
45,24.91361405,78.01696689
45.1,24.91348785,77.97770627
45.2,24.91336138,77.93842678
45.3,24.91323462,77.89912942
45.4,24.91310759,77.8598152
45.5,24.91298027,77.82048511
45.6,24.91285268,77.7811401
45.7,24.91272481,77.74178114
45.8,24.91259666,77.70240915
45.9,24.91246823,77.66302507
46,24.91233952,77.62362978
46.1,24.91221053,77.58422419
46.2,24.91208126,77.54480917
46.3,24.91195171,77.50538558
46.4,24.91182189,77.46595426
46.5,24.91169178,77.42651604
46.6,24.9115614,77.38707176
46.7,24.91143073,77.34762219
46.8,24.91129979,77.30816815
46.9,24.91116857,77.26871041
47,24.91103707,77.22924972
47.1,24.91090529,77.18978685
47.2,24.91077323,77.15032253
47.3,24.91064089,77.11085749
47.4,24.91050828,77.07139245
47.5,24.91037538,77.0319281
47.6,24.9102422,76.99246514
47.7,24.91010875,76.95300424
47.8,24.90997502,76.91354608
47.9,24.909841,76.87409131
48,24.90970671,76.83464058
48.1,24.90957214,76.79519452
48.2,24.90943729,76.75575375
48.3,24.90930216,76.71631889
48.4,24.90916676,76.67689055
48.5,24.90903107,76.63746931
48.6,24.90889511,76.59805576
48.7,24.90875886,76.55865047
48.8,24.90862234,76.51925401
48.9,24.90848554,76.47986692
49,24.90834845,76.44048976
49.1,24.90821109,76.40112306
49.2,24.90807345,76.36176734
49.3,24.90793554,76.32242313
49.4,24.90779734,76.28309093
49.5,24.90765886,76.24377123
49.6,24.90752011,76.20446454
49.7,24.90738107,76.16517133
49.8,24.90724176,76.12589208
49.9,24.90710217,76.08662726
50,24.9069623,76.04737732
50.1,24.90682215,76.00814272
50.2,24.90668172,75.96892389
50.3,24.90654101,75.92972128
50.4,24.90640003,75.89053531
50.5,24.90625876,75.85136639
50.6,24.90611722,75.81221495
50.7,24.90597539,75.77308139
50.8,24.90583329,75.73396611
50.9,24.90569091,75.6948695
51,24.90554825,75.65579194
51.1,24.90540532,75.61673381
51.2,24.9052621,75.5776955
51.3,24.9051186,75.53867735
51.4,24.90497483,75.49967972
51.5,24.90483077,75.46070298
51.6,24.90468644,75.42174643
51.7,24.90454183,75.38281249
51.8,24.90439694,75.34390045
51.9,24.90425177,75.30501064
52,24.90410633,75.26614339
52.1,24.9039606,75.227299
52.2,24.90381459,75.18847779
52.3,24.90366831,75.14968006
52.4,24.90352175,75.11090612
52.5,24.90337491,75.07215626
52.6,24.90322779,75.03343077
52.7,24.90308039,74.99472992
52.8,24.90293271,74.95605401
52.9,24.90278476,74.9174033
53,24.90263652,74.87877806
53.1,24.90248801,74.84017856
53.2,24.90233922,74.80160505
53.3,24.90219015,74.76305779
53.4,24.9020408,74.72453702
53.5,24.90189117,74.686043
53.6,24.90174126,74.64757596
53.7,24.90159108,74.60913613
53.8,24.90144061,74.57072376
53.9,24.90128987,74.53233906
54,24.90113885,74.49398226
54.1,24.90098755,74.45565357
54.2,24.90083597,74.41735321
54.3,24.90068411,74.3790814
54.4,24.90053198,74.34083833
54.5,24.90037956,74.3026242
54.6,24.90022687,74.26443923
54.7,24.9000739,74.22628359
54.8,24.89992065,74.18815748
54.9,24.89976712,74.15006109
55,24.89961332,74.1119946
55.1,24.89945923,74.07395819
55.2,24.89930487,74.03595204
55.3,24.89915022,73.99797631
55.4,24.8989953,73.96003177
55.5,24.8988401,73.92211739
55.6,24.89868462,73.88423393
55.7,24.89852887,73.84638155
55.8,24.89837283,73.80856041
55.9,24.89821652,73.77077066
56,24.89805993,73.73301245
56.1,24.89790306,73.69528593
56.2,24.89774591,73.65759123
56.3,24.89758848,73.6199285
56.4,24.89743077,73.58229788
56.5,24.89727279,73.54469949
56.6,24.89711453,73.50713348
56.7,24.89695599,73.46959996
56.8,24.89679717,73.43209906
56.9,24.89663807,73.39463092
57,24.89647869,73.35719563
57.1,24.89631904,73.31979334
57.2,24.8961591,73.28242413
57.3,24.89599889,73.24508814
57.4,24.8958384,73.20778547
57.5,24.89567763,73.17051623
57.6,24.89551659,73.13328052
57.7,24.89535526,73.09607843
57.8,24.89519366,73.05891009
57.9,24.89503178,73.02177557
58,24.89486962,72.98467497
58.1,24.89470718,72.9476084
58.2,24.89454446,72.91057593
58.3,24.89438147,72.87357766
58.4,24.89421819,72.83661367
58.5,24.89405464,72.79968404
58.6,24.89389081,72.76278886
58.7,24.89372671,72.72592821
58.8,24.89356232,72.68910216
58.9,24.89339765,72.65231079
59,24.89323271,72.61555417
59.1,24.89306749,72.57883238
59.2,24.89290199,72.54214548
59.3,24.89273621,72.50549354
59.4,24.89257016,72.46887663
59.5,24.89240382,72.4322948
59.6,24.89223721,72.39574813
59.7,24.89207032,72.35923667
59.8,24.89190315,72.32276049
59.9,24.89173571,72.28631963
60,24.89156798,72.24991415
60.1,24.89139998,72.2135441
60.2,24.8912317,72.17720954
60.3,24.89106314,72.14091052
60.4,24.8908943,72.10464709
60.5,24.89072519,72.06841928
60.6,24.89055579,72.03222715
60.7,24.89038612,71.99607074
60.8,24.89021617,71.95995009
60.9,24.89004594,71.92386525
61,24.88987544,71.88781624
61.1,24.88970465,71.85180311
61.2,24.88953359,71.8158259
61.3,24.88936225,71.77988463
61.4,24.88919063,71.74397935
61.5,24.88901874,71.70811008
61.6,24.88884656,71.67227685
61.7,24.88867411,71.6364797
61.8,24.88850138,71.60071865
61.9,24.88832837,71.56499372
62,24.88815509,71.52930495
62.1,24.88798152,71.49365236
62.2,24.88780768,71.45803596
62.3,24.88763356,71.42245579
62.4,24.88745916,71.38691185
62.5,24.88728448,71.35140418
62.6,24.88710953,71.31593279
62.7,24.8869343,71.28049769
62.8,24.88675879,71.2450989
62.9,24.886583,71.20973644
63,24.88640693,71.17441031
63.1,24.88623059,71.13912054
63.2,24.88605397,71.10386713
63.3,24.88587707,71.06865009
63.4,24.88569989,71.03346943
63.5,24.88552244,70.99832517
63.6,24.8853447,70.9632173
63.7,24.88516669,70.92814584
63.8,24.8849884,70.89311078
63.9,24.88480984,70.85811214
64,24.88463099,70.82314991
64.1,24.88445187,70.78822411
64.2,24.88427247,70.75333472
64.3,24.88409279,70.71848176
64.4,24.88391284,70.68366522
64.5,24.8837326,70.64888509
64.6,24.88355209,70.61414139
64.7,24.8833713,70.5794341
64.8,24.88319023,70.54476322
64.9,24.88300889,70.51012875
65,24.88282727,70.47553068
65.1,24.88264537,70.44096901
65.2,24.88246319,70.40644373
65.3,24.88228073,70.37195483
65.4,24.882098,70.3375023
65.5,24.88191499,70.30307802
65.6,24.8817317,70.26869864
65.7,24.88154813,70.2343556
65.8,24.88136429,70.20004889
65.9,24.88118017,70.16577849
66,24.88099577,70.13154439
66.1,24.88081109,70.09734659
66.2,24.88062614,70.06318505
66.3,24.88044091,70.0290646
66.4,24.8802554,69.99497519
66.5,24.88006961,69.96092201
66.6,24.87988354,69.92690506
66.7,24.8796972,69.8929243
66.8,24.87951058,69.85897972
66.9,24.87932368,69.82507131
67,24.87913651,69.79119905
67.1,24.87894905,69.75736291
67.2,24.87876132,69.72356289
67.3,24.87857332,69.68979894
67.4,24.87838503,69.65607106
67.5,24.87819647,69.62237923
67.6,24.87800763,69.58872341
67.7,24.87781851,69.5551036
67.8,24.87762911,69.52151976
67.9,24.87743944,69.48797187
68,24.87724949,69.45445991
68.1,24.87705926,69.42098385
68.2,24.87686875,69.38754366
68.3,24.87667797,69.35413933
68.4,24.87648691,69.32077082
68.5,24.87629557,69.28743811
68.6,24.87610396,69.25414118
68.7,24.87591207,69.22087998
68.8,24.87571989,69.18765451
68.9,24.87552745,69.15446472
69,24.87533472,69.12131059
69.1,24.87514172,69.08819209
69.2,24.87494844,69.05510919
69.3,24.87475488,69.02206186
69.4,24.87456105,68.98905006
69.5,24.87436694,68.95607378
69.6,24.87417255,68.92313298
69.7,24.87397788,68.89022762
69.8,24.87378294,68.85735778
69.9,24.87358772,68.82452321
70,24.87339222,68.791724
70.1,24.87319644,68.7589601
70.2,24.87300039,68.72623149
70.3,24.87280406,68.69353812
70.4,24.87260745,68.66087997
70.5,24.87241057,68.62825701
70.6,24.87221341,68.59566919
70.7,24.87201597,68.56311648
70.8,24.87181825,68.53059884
70.9,24.87162026,68.49811625
71,24.87142199,68.46566867
71.1,24.87122344,68.43325605
71.2,24.87102462,68.40087837
71.3,24.87082551,68.36853558
71.4,24.87062613,68.33622765
71.5,24.87042648,68.31420139
71.6,24.87022654,68.27171623
71.7,24.87002633,68.23951265
71.8,24.86982584,68.20734379
71.9,24.86962508,68.1752096
72,24.86942404,68.14311004
72.1,24.86922272,68.11104507
72.2,24.86902112,68.07901466
72.3,24.86881925,68.04701876
72.4,24.8686171,68.01505734
72.5,24.86841467,67.98313036
72.6,24.86821197,67.95123778
72.7,24.86800898,67.91937955
72.8,24.86780573,67.88755564
72.9,24.86760219,67.855766
73,24.86739838,67.8240106
73.1,24.86719429,67.7922894
73.2,24.86698992,67.76060235
73.3,24.86678528,67.72894941
73.4,24.86658036,67.69733055
73.5,24.86637516,67.66574571
73.6,24.86616969,67.63419486
73.7,24.86596393,67.60267796
73.8,24.86575791,67.57119496
73.9,24.8655516,67.53974583
74,24.86534502,67.50833051
74.1,24.86513816,67.47694897
74.2,24.86493102,67.44560116
74.3,24.86472361,67.4147764
74.4,24.86451592,67.38349596
74.5,24.86430796,67.35175973
74.6,24.86409971,67.32054643
74.7,24.86389119,67.28936665
74.8,24.86368239,67.25822034
74.9,24.86347332,67.22710747
75,24.86326397,67.19602798
75.1,24.86305434,67.16498184
75.2,24.86284444,67.133969
75.3,24.86263426,67.10298941
75.4,24.8624238,67.07204303
75.5,24.86221307,67.04112982
75.6,24.86200205,67.01024974
75.7,24.86179077,66.97940273
75.8,24.8615792,66.94858875
75.9,24.86136736,66.91780776
76,24.86115524,66.88705971
76.1,24.86094285,66.85634456
76.2,24.86073018,66.82566227
76.3,24.86051723,66.79501278
76.4,24.860304,66.76439606
76.5,24.8600905,66.73381205
76.6,24.85987672,66.70326071
76.7,24.85966267,66.672742
76.8,24.85944834,66.64225587
76.9,24.85923373,66.61180227
77,24.85901884,66.58138117
77.1,24.85880368,66.5509925
77.2,24.85858824,66.52063624
77.3,24.85837253,66.49031232
77.4,24.85815654,66.46002071
77.5,24.85794027,66.42976136
77.6,24.85772373,66.39953422
77.7,24.85750691,66.36933925
77.8,24.85728981,66.3391764
77.9,24.85707244,66.30904563
78,24.85685479,66.27894688
78.1,24.85663686,66.24888011
78.2,24.85641866,66.21884528
78.3,24.85620018,66.18884234
78.4,24.85598142,66.15887123
78.5,24.85576239,66.12893193
78.6,24.85554308,66.09902437
78.7,24.85532349,66.06914851
